id,name,symbol,slug,num_market_pairs,date_added,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,tags/18,tags/19,tags/20,tags/21,tags/22,tags/23,tags/24,tags/25,tags/26,tags/27,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote/USD/price,quote/USD/volume_24h,quote/USD/volume_change_24h,quote/USD/percent_change_1h,quote/USD/percent_change_24h,quote/USD/percent_change_7d,quote/USD/percent_change_30d,quote/USD/percent_change_60d,quote/USD/percent_change_90d,quote/USD/market_cap,quote/USD/market_cap_dominance,quote/USD/fully_diluted_market_cap,quote/USD/tvl,quote/USD/last_updated,tags/28,tags/29,platform/id,platform/name,platform/symbol,platform/slug,platform/token_address
1,Bitcoin,BTC,bitcoin,9660,2013-04-28T00:00:00.000Z,mineable,pow,sha-256,store-of-value,state-channel,coinbase-ventures-portfolio,three-arrows-capital-portfolio,polychain-capital-portfolio,binance-labs-portfolio,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,dcg-portfolio,dragonfly-capital-portfolio,electric-capital-portfolio,fabric-ventures-portfolio,framework-ventures-portfolio,galaxy-digital-portfolio,huobi-capital-portfolio,alameda-research-portfolio,a16z-portfolio,1confirmation-portfolio,winklevoss-capital-portfolio,usv-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,multicoin-capital-portfolio,paradigm-portfolio,21000000,19112337,19112337,,1,,,,2022-08-04T20:15:00.000Z,22507.58510463398,25655574231.186615,-0.5776,-0.40827457,-3.82138706,-5.623749,9.30115556,-25.21229572,-37.42551946,430172551575.9449,40.7066,472659287197.31,,2022-08-04T20:15:00.000Z,,,,,,,
1027,Ethereum,ETH,ethereum,5911,2015-08-07T00:00:00.000Z,mineable,pow,smart-contracts,ethereum-ecosystem,coinbase-ventures-portfolio,three-arrows-capital-portfolio,polychain-capital-portfolio,binance-labs-portfolio,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,dcg-portfolio,dragonfly-capital-portfolio,electric-capital-portfolio,fabric-ventures-portfolio,framework-ventures-portfolio,hashkey-capital-portfolio,kenetic-capital-portfolio,huobi-capital-portfolio,alameda-research-portfolio,a16z-portfolio,1confirmation-portfolio,winklevoss-capital-portfolio,usv-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,multicoin-capital-portfolio,paradigm-portfolio,,121830586.499,121830586.499,,2,,,,2022-08-04T20:15:00.000Z,1596.6536862615037,15110046011.178408,-8.8583,-0.46304995,-3.38600399,-7.89039289,37.95468338,-12.4959856,-40.60031887,194521255033.02933,18.3977,194521255033.03,,2022-08-04T20:15:00.000Z,injective-ecosystem,bnb-chain,,,,,
825,Tether,USDT,tether,37357,2015-02-25T00:00:00.000Z,payments,stablecoin,asset-backed-stablecoin,avalanche-ecosystem,solana-ecosystem,arbitrum-ecosytem,moonriver-ecosystem,injective-ecosystem,bnb-chain,usd-stablecoin,,,,,,,,,,,,,,,,,,,,66426425454.89931,69158976389.32562,,3,,,,2022-08-04T20:15:00.000Z,1.0000955782030168,45439801912.76625,-3.2781,-0.00075638,-0.01362855,-0.00439033,0.09334274,0.07714911,0.00378264,66432774373.277115,6.2837,69165586480.01,,2022-08-04T20:15:00.000Z,,,1027,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7
3408,USD Coin,USDC,usd-coin,5156,2018-10-08T00:00:00.000Z,medium-of-exchange,stablecoin,asset-backed-stablecoin,fantom-ecosystem,arbitrum-ecosytem,moonriver-ecosystem,bnb-chain,usd-stablecoin,,,,,,,,,,,,,,,,,,,,,,54267420558.040375,54267420558.040375,,4,,,,2022-08-04T20:15:00.000Z,1.0000769140746553,6317125556.28597,-9.6318,0.01593283,0.0060785,0.02440847,-0.02325558,-0.01193762,-0.04508387,54271594486.476524,5.1335,54271594486.48,,2022-08-04T20:15:00.000Z,,,1027,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
1839,BNB,BNB,bnb,1047,2017-07-25T00:00:00.000Z,marketplace,centralized-exchange,payments,smart-contracts,alameda-research-portfolio,multicoin-capital-portfolio,moonriver-ecosystem,bnb-chain,,,,,,,,,,,,,,,,,,,,,200000000,161337261.09,161337261.09,,5,,,,2022-08-04T20:15:00.000Z,310.4751008114534,2061385274.2534168,-0.5874,0.94575368,2.39950924,11.57855273,33.22768716,2.84521538,-18.52414297,50091202401.56152,4.7376,62095020162.29,,2022-08-04T20:15:00.000Z,,,,,,,
4687,Binance USD,BUSD,binance-usd,4409,2019-09-20T00:00:00.000Z,stablecoin,asset-backed-stablecoin,binance-chain,harmony-ecosystem,moonriver-ecosystem,bnb-chain,usd-stablecoin,,,,,,,,,,,,,,,,,,,,,,,17923534690.539257,17923534690.539257,,6,,,,2022-08-04T20:15:00.000Z,1.000111672472504,5997081186.551407,13.5712,-0.00996672,0.01484342,0.15356718,-0.01803208,-0.13707173,0.11654179,17925536255.974163,1.6956,17925536255.97,,2022-08-04T20:15:00.000Z,,,1839,BNB,BNB,bnb,BUSD-BD1
52,XRP,XRP,xrp,786,2013-08-04T00:00:00.000Z,medium-of-exchange,enterprise-solutions,binance-chain,arrington-xrp-capital-portfolio,galaxy-digital-portfolio,a16z-portfolio,pantera-capital-portfolio,,,,,,,,,,,,,,,,,,,,,,100000000000,48343101197,99989535142,,7,,,,2022-08-04T20:15:00.000Z,0.3681443765594706,953648437.8144474,-12.5873,-0.06664209,-2.00258414,-2.04671938,12.75367575,-7.81109611,-38.40451274,17797240851.12096,1.6831,36814437655.95,,2022-08-04T20:15:00.000Z,,,,,,,
2010,Cardano,ADA,cardano,537,2017-10-01T00:00:00.000Z,mineable,dpos,pos,platform,research,smart-contracts,staking,cardano-ecosystem,cardano,bnb-chain,,,,,,,,,,,,,,,,,,,45000000000,33934048405.593,34277702081.605,,8,,,,2022-08-04T20:15:00.000Z,0.49792209242745167,520658411.84559757,-6.5608,-0.22293398,-2.99179477,-3.31538094,7.74921285,-14.0750505,-36.54432149,16896512386.647295,1.5982,22406494159.24,,2022-08-04T20:15:00.000Z,,,,,,,
5426,Solana,SOL,solana,356,2020-04-10T00:00:00.000Z,pos,platform,solana-ecosystem,cms-holdings-portfolio,kenetic-capital-portfolio,alameda-research-portfolio,multicoin-capital-portfolio,okex-blockdream-ventures-portfolio,,,,,,,,,,,,,,,,,,,,,,346339278.1660928,511616946.142289,,9,,,,2022-08-04T20:15:00.000Z,38.44039515990707,1361191278.2654512,-40.0872,-0.39906966,-4.21171,-9.71978757,6.26896519,-3.8248561,-53.10248881,13313418712.101582,1.2592,19666757580.21,,2022-08-04T20:15:00.000Z,,,,,,,
6636,Polkadot,DOT,polkadot-new,378,2020-08-19T00:00:00.000Z,substrate,polkadot,binance-chain,polkadot-ecosystem,three-arrows-capital-portfolio,polychain-capital-portfolio,arrington-xrp-capital-portfolio,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,coinfund-portfolio,fabric-ventures-portfolio,fenbushi-capital-portfolio,hashkey-capital-portfolio,kenetic-capital-portfolio,1confirmation-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,exnetwork-capital-portfolio,web3,spartan-group,injective-ecosystem,bnb-chain,,,,,,,1103298614.3990493,1218522284.724229,,10,904869778,7232477306.78942,,2022-08-04T20:15:00.000Z,7.992837734922583,436691655.7905469,-10.7923,-0.34015577,-4.33163484,0.85153649,14.95333661,-16.19487067,-43.98926399,8818486798.05652,0.834,9739450898.19,,2022-08-04T20:15:00.000Z,,,,,,,
